All Test Averages	Tester Name	Test Timestamp	Dock Shape Style	Virtual Device Visible	Time Taken	Shape Precision %	Orientation Precision %	Overall Precision %	Dock Rotate Angle	Dock ChildRotate Angle	Dock RotateInverse Angle	Dock ChildRotateInverse Angle	Dock x Rotation	Dock y Rotation	Dock z Rotation	Efficiency %	Total Difficulty	MV Avg	MV Rotate Angle	MV ChildRotate Angle	MV RotateInverse Angle	MV ChildRotateInverse Angle	MV x Rotation	MV y Rotation	MV z Rotation	TRE Avg	TRE Rotate Angle	TRE ChildRotate Angle	TRE RotateInverse Angle	TRE ChildRotateInverse Angle	TRE x Rotation	TRE y Rotation	TRE z Rotation	
		2018-08-02_13:21:32	Ltd Random	True	7.31953	96.74502	98.45158	96.73544	30	90	0	30	15	45	45	93.90022	0.2575758	736.2013	68.68854	216.1463	0	252.4833	19.63453	28.2047	151.0439	19	0	1	1	4	2	1	11	
		2018-08-02_13:21:48	Ltd Random	True	5.772172	98.03683	98.76141	97.58223	90	90	0	90	45.00001	45	45	92.30581	0.4090909	503.5841	87.44313	92.36623	0	100.1025	57.474	26.8738	139.3245	16	1	1	1	4	6	1	3	
		2018-08-02_13:22:02	Ltd Random	False	6.907414	96.17481	98.67574	96.50549	30	30	0	30	45	15	15	95.05704	0.1666667	575.0356	63.2967	84.8644	0	181.9192	95.66698	32.39146	116.8969	35	2	0	1	6	14	3	10	
		2018-08-02_13:22:14	Presets	True	7.547966	90.89844	74.36801	82.6653	110	115	0	135	64.42465	6.180481	162.4242	74.40219	0.5990195	2718.489	106.901	172.542	0	191.2965	243.4383	624.1648	1380.146	16	0	0	1	0	2	4	10	
		2018-08-02_13:22:26	Presets	False	5.487398	97.74097	91.73156	94.60658	0	150	0	150	46.27344	146.2547	39.31722	86.94187	0.5372175	881.9557	56.49812	199.2672	0	214.9741	84.42139	138.1438	188.6508	20	6	4	1	1	10	0	0	
		2018-08-02_13:22:35	Presets	False	6.110787	98.57952	85.36813	92.53471	110	115	0	135	55.68079	88.27475	13.36914	83.25701	0.5225502	2093.014	109.9486	98.46145	0	182.8123	181.5284	617.295	902.9678	11	1	0	1	1	7	0	2	
		2018-08-02_13:22:47	Ltd Random	False	4.674032	94.14225	92.17097	93.15449	90	90	0	90	45	45	15	94.00671	0.3787879	614.8228	65.8754	109.9486	0	167.15	44.95977	68.314	158.575	10	0	2	1	3	3	0	2	
		2018-08-02_13:22:55	Presets	True	4.870112	98.82785	84.37349	91.95486	0	150	0	150	61.64279	131.9831	2.777533	90.30495	0.5014176	846.515	87.67757	151.9119	0	145.8167	102.9024	156.7709	201.4354	12	3	2	1	1	6	0	2	


