All Test Averages	Trial Number	Test Timestamp	Tester Name	Dock Shape Style	Virtual Device Visible	Time Taken	Shape Precision %	Orientation Precision %	Overall Precision %	Dock Rotate Angle	Dock ChildRotate Angle	Dock RotateInverse Angle	Dock ChildRotateInverse Angle	Dock x Rotation	Dock y Rotation	Dock z Rotation	Efficiency %	Total Difficulty	MV Avg	MV Rotate Angle	MV ChildRotate Angle	MV RotateInverse Angle	MV ChildRotateInverse Angle	MV x Rotation	MV y Rotation	MV z Rotation	TRE Avg	TRE Rotate Angle	TRE ChildRotate Angle	TRE RotateInverse Angle	TRE ChildRotateInverse Angle	TRE x Rotation	TRE y Rotation	TRE z Rotation	
	1	2018-10-30_15:31:41	0	BAD DATA	True	0.7725374	60.67547	72.22222	65.62408	29.99658	107.8451	0	149.9836	5.008957E-06	5.008956E-06	150	99.62418	0.4864725	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	
	2	2018-10-30_15:31:42	0	ZEROING DATA	True	0.8948293	99.67392	100	99.81367	0.0008677993	9.119074E-08	0	0.004349542	0	0	0	99.99999	5.797147E-06	4.688599	4.688599	0	0	0	0	0	0	0	1	1	1	1	1	1	1	
	3	2018-10-30_15:31:43	0	BAD DATA	False	0.8316203	79.42966	42.66195	57.84025	109.9933	37.40982	0	1.431568E-07	73.48096	170.4695	139.156	99.44761	0.5894551	10.54948	0	4.923096	0	5.626389	0	0	0	0	0	0	1	1	0	0	0	
	4	2018-10-30_15:31:44	0	ZEROING DATA	True	1.248249	99.93487	100	99.96278	7.099981E-05	1.602678E-11	0	4.988869E-14	0	0	0	100	7.88887E-08	23.91208	11.25272	4.454224	0	8.205138	0	0	0	0	1	1	1	1	1	1	1	
	5	2018-10-30_15:31:45	0	BAD DATA	True	0.7729245	61.33064	59.07944	56.17908	89.98993	90	0	89.98991	52.75316	129.0959	91.87514	99.4056	0.6041156	21.09884	8.20507	4.923065	0	7.970703	0	0	0	0	0	0	1	0	0	0	0	
	6	2018-10-30_15:31:46	0	ZEROING DATA	True	0.7130717	98.99064	100	99.42322	0.01965332	4.295386E-06	0	0.0196476	0	0	0	99.99996	4.367246E-05	10.0806	0	3.516479	0	6.564117	0	0	0	0	1	1	1	1	1	1	1	
	7	2018-10-30_15:31:47	0	Presets_dockPreset_1	True	0.655329	58.27662	42.71106	50.39601	4.338232E-06	150	0	149.9395	15.24173	148.1498	161.2104	99.46065	0.6939349	12.19047	0	4.688637	0	7.501831	0	0	0	0	1	0	1	0	0	0	0	
	8	2018-10-30_15:31:48	0	ZEROING DATA	True	0.7144187	99.93063	100	99.96036	4.795566E-10	6.243799E-06	0	0.03064072	0	0	0	99.99998	3.405218E-05	7.736267	0	0	0	7.736267	0	0	0	0	1	1	1	1	1	1	1	
	9	2018-10-30_15:31:49	0	Presets_dockPreset_3	False	0.7149234	51.26087	70.08537	54.7124	109.974	113.2471	0	134.9681	58.16306	141.7081	19.83089	99.54095	0.6421013	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
	10	2018-10-30_15:31:49	0	ZEROING DATA	True	0.594727	99.70417	100	99.83096	0.08825684	7.271053E-05	0	0.1084194	0	0	0	99.99987	0.00021861	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	
	11	2018-10-30_15:31:50	0	Ltd Random	True	0.6522225	59.97829	66.66666	62.84474	29.98697	109.1727	0	149.9343	1.024528E-05	90	90	99.50121	0.5212156	30.47624	10.0806	7.501862	0	12.89378	0	0	0	0	0	0	1	0	1	0	0	
	12	2018-10-30_15:31:51	0	ZEROING DATA	True	0.5981376	99.5627	100	99.75011	0.02243042	6.005498E-05	0	0.1109752	0	0	0	99.9999	0.0001482952	5.157471	5.157471	0	0	0	0	0	0	0	1	1	1	1	1	1	1	
	13	2018-10-30_15:31:51	0	BAD DATA	False	0.5936523	54.48779	66.66666	59.70731	89.92392	89.99994	0	149.8739	1.024528E-05	90	90	99.57874	0.566442	15.00372	2.813202	7.501862	0	4.688652	0	0	0	0	0	0	1	0	1	0	0	
	14	2018-10-30_15:31:52	0	ZEROING DATA	True	0.7161919	99.42075	100	99.669	0.01843262	3.76701E-06	0	0.03075705	0	0	0	99.99995	5.465936E-05	9.142853	4.219788	4.923065	0	0	0	0	0	0	1	1	1	1	1	1	1	
	15	2018-10-30_15:31:53	0	Presets_dockPreset_5	False	0.6516358	87.24492	63.72301	75.7274	4.315375E-06	2.067928E-13	0	89.96113	18.1024	69.80328	126.0925	99.76488	0.3377326	4.454193	2.109863	2.34433	0	0	0	0	0	0	1	1	1	0	0	0	0	
	16	2018-10-30_15:31:54	0	ZEROING DATA	True	1.308173	99.6744	100	99.81394	7.582058E-13	6.383697E-27	0	3.09043E-05	0	0	0	100	3.433811E-08	4.454224	2.34433	2.109894	0	0	0	0	0	0	1	1	1	1	1	1	1	
	17	2018-10-30_15:31:55	0	BAD DATA	False	0.8311794	60.06555	88.88889	65.27555	90.43219	50.233	0	149.9105	90	60	0	99.56328	0.4895285	6.095245	0	0	0	6.095245	0	0	0	0	0	0	1	0	0	0	1	
	18	2018-10-30_15:31:56	0	ZEROING DATA	True	0.8311356	99.57873	100	99.75927	0.00545743	1.86625E-07	0	0.009021414	0	0	0	99.99998	1.608781E-05	18.05121	5.626343	5.626335	0	6.798531	0	0	0	0	1	1	1	1	1	1	1	
	19	2018-10-30_15:31:57	0	Ltd Random	True	0.6517242	48.88227	83.33334	56.50416	89.96124	129.5571	0	149.9358	90	90	0	99.52054	0.6105047	13.3626	4.688622	2.109863	0	6.564117	0	0	0	0	0	0	1	0	0	0	1	
	20	2018-10-30_15:31:58	0	ZEROING DATA	True	0.9530621	98.95864	100	99.40494	0.001505589	3.622284E-08	0	0.002510328	0	0	0	99.99999	4.46217E-06	10.08057	7.032959	3.047607	0	0	0	0	0	0	1	1	1	1	1	1	1	
	21	2018-10-30_15:31:59	0	Presets_dockPreset_2	False	0.5954349	62.55122	66.25726	59.59542	89.93286	89.99994	0	89.93285	57.25566	88.21588	93.9949	99.63915	0.5659245	4.219788	4.219788	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
	22	2018-10-30_15:32:00	0	ZEROING DATA	True	0.6520022	99.93488	100	99.96279	0.03878784	1.673534E-05	0	0.03877826	0	0	0	99.99994	8.620315E-05	4.92308	2.578758	0	0	2.344322	0	0	0	0	1	1	1	1	1	1	1	
	23	2018-10-30_15:32:01	0	Ltd Random	False	0.6577235	70.48148	55.55556	64.08465	89.966	90	0	29.98864	5.122642E-06	150	90	99.66062	0.4999496	2.109894	2.109894	0	0	0	0	0	0	0	0	0	1	0	1	0	0	
	24	2018-10-30_15:32:01	0	ZEROING DATA	True	0.592599	99.62769	100	99.78725	0.07641602	6.494673E-05	0	0.02553014	0	0	0	99.99992	0.0001133457	14.06592	3.047615	4.923088	0	6.095215	0	0	0	0	1	1	1	1	1	1	1	
	25	2018-10-30_15:32:02	0	Ltd Random	False	0.7125648	57.32732	55.55556	56.56799	89.97894	128.9265	0	89.97893	5.122642E-06	90	150	99.53397	0.6098715	5.157509	2.109887	0	0	3.047623	0	0	0	0	0	0	1	0	1	0	0	
	26	2018-10-30_15:32:03	0	ZEROING DATA	True	0.7155678	99.77208	100	99.86976	0.01828003	5.326191E-06	0	0.01829392	0	0	0	99.99997	4.064364E-05	2.109894	2.109894	0	0	0	0	0	0	0	1	1	1	1	1	1	1	
	27	2018-10-30_15:32:04	0	Ltd Random	True	0.6540663	79.33485	55.55556	69.14372	30.30627	30.00143	0	90.12239	5.122642E-06	150	90	99.65117	0.4338112	15.00368	2.578735	6.095276	0	6.329674	0	0	0	0	0	0	1	0	1	0	0	
	28	2018-10-30_15:32:05	0	ZEROING DATA	True	0.7152064	99.41563	100	99.66608	0.006225586	1.280319E-06	0	0.01856564	0	0	0	99.99998	2.754723E-05	8.439576	4.219789	4.219788	0	0	0	0	0	0	1	1	1	1	1	1	1	
	29	2018-10-30_15:32:05	0	Presets_dockPreset_4	False	0.6520088	79.64892	51.5473	64.68945	109.9523	37.27875	0	4.088508E-06	36.74051	115.1184	146.5262	99.63422	0.495129	8.673965	2.109863	0	0	6.564102	0	0	0	0	0	0	1	1	0	0	0	
	30	2018-10-30_15:32:06	0	ZEROING DATA	True	0.654278	99.15998	100	99.51999	0.04708862	7.089071E-06	0	9.517465E-10	0	0	0	99.99997	5.232857E-05	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	
	31	2018-10-30_15:32:07	0	Presets_dockPreset_2	False	0.7156922	62.24467	91.6368	70.48274	89.98145	90	0	89.98144	54.91779	40.88239	4.278898	99.69706	0.4111577	2.109894	0	2.109894	0	0	0	0	0	0	0	0	1	0	0	0	1	
	32	2018-10-30_15:32:08	0	ZEROING DATA	True	0.7119989	99.86976	100	99.92558	0.01940918	4.199077E-06	0	0.01942158	0	0	0	99.99996	4.314995E-05	10.0806	0	5.157524	0	4.92308	0	0	0	0	1	1	1	1	1	1	1	
	33	2018-10-30_15:32:08	0	Presets_dockPreset_1	False	0.5941913	58.48013	82.62139	66.88924	8.47202E-06	150	0	149.8808	24.40808	27.75388	66.09061	99.66187	0.4645927	13.36266	0	6.095276	0	7.267387	0	0	0	0	1	0	1	0	0	0	0	
