
Angles Over Time
Frames	Rotate	ChildRotate	RotateInverse	ChildRotateInverse	Docking x	Docking y	Docking z	
0	-0.4688721	0.2344366	0	-0.234436	0	0	0	
1	0	-0.4688721	0	1.406593	0	0	0	
2	0	0.9377213	0	0.703293	0	0	0	
3	0.9377288	0.9377213	0	1.067197E-07	0	0	0	
4	1.172165	0.703293	0	1.067197E-07	0	0	0	
5	1.172165	0.9377213	0	0.2344285	0	0	0	
6	1.172165	-0.9377136	0	1.875458	0	0	0	
7	-1.17215	0.4688568	0	0.2344283	0	0	0	
8	1.172165	5.336041E-08	0	-4.065338E-08	0	0	0	
9	0.4688645	5.336041E-08	0	0.2344283	0	0	0	
10	0.4688645	0.2344285	0	-5.336074E-08	0	0	0	
11	0.2344361	-2.813171	0	2.578751	0	0	0	
12	-2.344299	0	0	0	0	0	0	
13	0.4688646	-0.4688721	0	0.2344284	0	0	0	
14	0.2344362	0	0	0.7032928	0	0	0	
15	0.2344362	-0.4688721	0	0.2344284	0	0	0	
16	0.2344362	-2.34433	0	1.875458	0	0	0	
17	-1.875458	-0.4688721	0	0.2344285	0	0	0	
18	0.4688648	0	0	5.336074E-08	0	0	0	
19	0.4688648	0	0	0.4688645	0	0	0	
20	3.735229E-07	0.2344284	0	0.2344284	0	0	0	
21	0.2344364	-0.4688721	0	2.668037E-08	0	0	0	
22	0.2344364	-0.234436	0	1.641022	0	0	0	
23	0.4688649	0.9377212	0	0.4688644	0	0	0	
24	0.7033008	0.9377212	0	0	0	0	0	
25	0.9377292	0.9377212	0	0.4688644	0	0	0	
26	0.9377292	0.9377212	0	0	0	0	0	
27	0.9377292	-0.4688721	0	1.406593	0	0	0	
28	0.2344364	0.9377212	0	0	0	0	0	
29	1.172165	0.4688568	0	0	0	0	0	
30	1.172165	-0.4688721	0	0	0	0	0	
31	0.2344364	-0.4688721	0	0.2344284	0	0	0	
32	0.2344364	-2.813171	0	3.750915	0	0	0	
33	-2.578735	-0.234436	0	0	0	0	0	
34	0.468865	0.2344283	0	0.2344284	0	0	0	
35	0.468865	0.2344283	0	0.2344284	0	0	0	
36	0.2344366	-0.234436	0	0.4688645	0	0	0	
37	0.2344366	-1.067215E-07	0	0.2344284	0	0	0	
38	-0.4688721	-0.4688721	0	1.406593	0	0	0	
39	0.2344366	0.9377212	0	0.703293	0	0	0	
40	0.703301	0.7032928	0	0.2344286	0	0	0	
41	0.9377294	0.7032928	0	1.600822E-07	0	0	0	
42	1.172166	0.9377212	0	0.4688646	0	0	0	
43	0.7033011	-0.9377441	0	1.172157	0	0	0	
44	-0.4688721	0.9377212	0	0.703293	0	0	0	
45	0.7033012	-5.589192E-08	0	0.4688646	0	0	0	
46	0.7033012	0.2344283	0	0.703293	0	0	0	
47	6.93678E-07	-5.336074E-08	0	1.067197E-07	0	0	0	
48	0.2344367	-2.109894	0	4.219772	0	0	0	
49	-2.344299	-8.765487E-08	0	0.2344284	0	0	0	
50	0.2344367	-0.234436	0	2.668037E-08	0	0	0	
51	0.2344367	-8.004111E-08	0	2.668037E-08	0	0	0	
52	0.2344367	-8.004111E-08	0	0.2344284	0	0	0	
53	0.2344367	-2.578766	0	0.9377288	0	0	0	
54	-2.813171	0	0	0.4688645	0	0	0	
55	-0.234436	-0.234436	0	0.2344285	0	0	0	
56	0.468865	0	0	0.4688645	0	0	0	
57	-0.234436	-0.234436	0	0.2344285	0	0	0	
58	0.468865	-2.34433	0	2.344322	0	0	0	
59	-1.406586	-0.234436	0	0.2344285	0	0	0	
60	0.2344362	0.2344282	0	0.2344285	0	0	0	
61	0.4688647	0.2344282	0	0.9377289	0	0	0	
62	2.66802E-07	-0.234436	0	1.575439E-07	0	0	0	
63	0.2344363	-1.334019E-07	0	0.4688646	0	0	0	
64	-0.4688721	-1.334019E-07	0	1.406593	0	0	0	
65	0.2344363	0.7032927	0	0.2344286	0	0	0	
66	1.172165	0.9377212	0	0.2344286	0	0	0	
67	0.9377291	0.4688568	0	0.2344286	0	0	0	
68	1.406594	1.172157	0	0.4688646	0	0	0	
69	0.9377291	-0.9377136	0	1.641022	0	0	0	
70	0.2344362	0.9377214	0	0.2344285	0	0	0	
71	1.172165	0.2344286	0	0.4688645	0	0	0	
72	2.502831E-07	1.994699E-07	0	0.2344285	0	0	0	
73	0.2344363	-0.4688721	0	8.004111E-08	0	0	0	
74	0.4688647	-2.813171	0	3.750915	0	0	0	
75	-2.344299	0.2344287	0	0.7032926	0	0	0	
76	-0.234436	2.668037E-07	0	0.7032926	0	0	0	
77	-0.234436	-0.234436	0	0.2344282	0	0	0	
78	0.2344363	2.668037E-07	0	0.4688643	0	0	0	
79	0.4688647	-1.875458	0	1.875458	0	0	0	
80	-2.109894	2.134148E-07	0	0.7032928	0	0	0	
81	3.391591E-07	0.2344286	0	0.2344285	0	0	0	
82	3.391591E-07	0.2344286	0	5.336074E-08	0	0	0	
83	0.2344364	2.13443E-07	0	0.7032929	0	0	0	
84	-0.234436	-0.234436	0	0.2344285	0	0	0	
85	3.735252E-07	-0.7033081	0	1.406593	0	0	0	
86	0.4688648	0.9377214	0	0.703293	0	0	0	
87	0.7033008	0.9377214	0	0.2344286	0	0	0	
88	1.172165	0.7032931	0	1.600822E-07	0	0	0	
89	1.172165	0.9377214	0	0.703293	0	0	0	
90	0.7033009	-0.7033081	0	1.641022	0	0	0	
91	-0.7032776	0.7032932	0	3.201323E-07	0	0	0	
92	1.172165	-0.4688721	0	0.2344287	0	0	0	
93	0.4688649	3.735229E-07	0	0.4688648	0	0	0	
94	0.2344364	3.735229E-07	0	0.2344287	0	0	0	
95	0.4688649	-2.813171	0	3.750915	0	0	0	
96	-2.813171	4.267582E-07	0	4.266581E-07	0	0	0	
97	0.2344366	4.267582E-07	0	4.266581E-07	0	0	0	
98	0.468865	4.267582E-07	0	4.266581E-07	0	0	0	
99	0.468865	4.267582E-07	0	4.266581E-07	0	0	0	
100	0.2344366	-2.34433	0	1.875458	0	0	0	
101	-1.875458	4.267975E-07	0	4.268296E-07	0	0	0	
102	0.2344365	4.267975E-07	0	0.4688649	0	0	0	
103	4.802467E-07	4.267975E-07	0	0.4688649	0	0	0	
104	-0.234436	4.267975E-07	0	0.4688649	0	0	0	
105	4.802467E-07	-1.875458	0	3.047615	0	0	0	
106	-1.875458	0.2344288	0	2.133679E-07	0	0	0	
107	0.2344363	4.268859E-07	0	0.7032931	0	0	0	
108	2.668037E-07	0.2344288	0	0.2344287	0	0	0	
109	0.2344363	4.268859E-07	0	0.4688647	0	0	0	
110	0.2344363	-2.109894	0	2.344322	0	0	0	
111	-2.344299	3.391596E-07	0	0.2344285	0	0	0	
112	-0.234436	3.391596E-07	0	0.4688646	0	0	0	
113	3.468448E-07	3.391596E-07	0	0.2344285	0	0	0	
114	0.2344364	3.391596E-07	0	0.7032929	0	0	0	
115	3.468448E-07	3.391596E-07	0	6.480045E-08	0	0	0	
116	-0.4688721	3.391596E-07	0	1.875458	0	0	0	
117	3.201625E-07	0.2344287	0	0	0	0	0	
118	0.2344363	-0.234436	0	0	0	0	0	
119	0.2344363	0.9377216	0	0	0	0	0	
